13.99,6.77,419.33
16.14,6.94,529.31
15.36,6.84,479.61
13.92,6.81,417.62
15.86,7.75,454.30
14.66,6.21,441.55
14.83,5.53,432.82
14.08,6.42,453.05
13.94,6.92,481.89
14.58,5.32,467.56
14.01,6.21,396.62
16.01,6.82,477.81
15.75,5.93,442.68
15.90,6.25,418.43
16.94,6.84,457.33
14.20,5.56,470.81
17.14,10.82,523.22
17.24,9.84,506.19
16.31,9.10,505.46
13.34,8.87,498.11
17.75,7.45,481.40
17.24,7.69,462.19
17.05,6.99,448.68
18.14,6.49,446.33
17.83,5.72,437.48
14.95,5.77,451.26
15.28,5.65,439.00
20.20,5.53,413.02
21.21,5.07,417.22
15.26,4.85,426.18
14.42,4.55,390.51
15.18,4.54,403.84
23.25,4.49,412.55
16.41,4.55,411.33
23.46,4.50,388.52
22.18,4.49,350.77
17.03,4.44,403.51
17.50,4.50,396.85
24.48,3.74,351.89
17.55,4.44,374.88
16.74,3.92,357.77
26.59,4.32,345.91
17.21,4.20,345.42
25.12,3.83,318.93
25.43,4.16,326.42
17.82,4.08,340.47
25.43,3.83,302.17
28.84,3.97,325.43
18.60,4.03,325.72
29.11,4.61,305.15
26.85,3.76,297.47
31.01,4.05,325.90
32.35,5.30,302.23
18.26,3.88,298.32
18.60,3.97,295.03
18.62,3.85,281.32
30.34,3.64,285.31
30.86,3.85,296.79
32.25,3.77,283.76
31.58,4.16,274.05
31.10,4.16,266.53
33.37,3.97,315.02
31.94,4.29,260.66
18.97,3.69,271.35
20.59,3.74,294.92
21.29,3.91,283.44
22.17,3.46,290.83
35.73,3.97,276.51
36.15,4.35,271.75
21.60,3.55,288.78
36.05,4.06,285.94
39.39,5.09,274.92
36.54,4.12,262.11
36.91,3.89,264.17
22.47,3.50,285.50
23.74,3.64,287.25
22.71,3.73,263.79
41.68,5.05,261.25
23.86,3.74,277.68
41.64,4.52,277.16
40.77,4.21,268.40
25.17,3.77,292.01
24.11,3.69,287.09
43.93,4.10,253.42
42.16,4.89,250.84
25.17,3.70,273.91
25.40,3.85,277.16
26.93,3.82,294.60
43.58,4.50,262.39
46.79,4.74,278.43
26.65,3.71,264.30
46.47,4.28,252.47
27.09,4.01,268.41
48.84,4.89,265.70
29.21,3.58,273.23
49.05,4.61,266.79
27.83,3.75,279.06
28.74,3.74,286.71
27.26,4.10,270.91
